,000300.SH,000905.SH
2010-01-04,3535.229,4510.527
2010-01-05,3564.038,4557.475
2010-01-06,3541.727,4550.279
2010-01-07,3471.456,4459.155
2010-01-08,3480.13,4514.452
2010-01-11,3482.052,4542.949
2010-01-12,3534.916,4639.632
2010-01-13,3421.144,4591.024
2010-01-14,3469.051,4714.1
2010-01-15,3482.738,4747.648
2010-01-18,3500.684,4829.062
2010-01-19,3507.482,4830.016
2010-01-20,3394.434,4651.074
2010-01-21,3408.574,4667.209
2010-01-22,3366.197,4537.88
2010-01-25,3328.014,4481.16
2010-01-26,3242.797,4294.383
2010-01-27,3198.566,4267.113
2010-01-28,3206.57,4336.381
2010-01-29,3204.155,4374.649
2010-02-01,3152.707,4331.366
2010-02-02,3146.189,4301.768
2010-02-03,3230.715,4363.079
2010-02-04,3218.802,4408.441
2010-02-05,3153.087,4311.293
2010-02-08,3150.988,4310.894
2010-02-09,3169.19,4311.891
2010-02-10,3214.13,4366.25
2010-02-11,3220.398,4356.517
2010-02-12,3251.278,4416.219
2010-02-22,3233.345,4419.547
2010-02-23,3198.634,4459.155
2010-02-24,3244.483,4556.281
2010-02-25,3292.128,4629.965
2010-02-26,3281.666,4634.671
2010-03-01,3324.423,4686.266
2010-03-02,3311.236,4690.293
2010-03-03,3335.081,4758.434
2010-03-04,3250.573,4586.523
2010-03-05,3259.764,4604.586
2010-03-08,3286.178,4654.583
2010-03-09,3305.863,4660.126
2010-03-10,3279.694,4598.994
2010-03-11,3276.705,4562.872
2010-03-12,3233.126,4492.861
2010-03-15,3183.183,4454.76
2010-03-16,3203.971,4491.465
2010-03-17,3273.916,4616.053
2010-03-18,3267.555,4630.953
2010-03-19,3293.871,4663.903
2010-03-22,3302.628,4690.198
2010-03-23,3275.573,4658.626
2010-03-24,3276.669,4683.065
2010-03-25,3229.128,4620.749
2010-03-26,3275.002,4686.931
2010-03-29,3358.54,4723.611
2010-03-30,3366.708,4744.423
2010-03-31,3345.607,4756.157
2010-04-01,3391.935,4827.214
2010-04-02,3407.346,4843.175
2010-04-06,3405.145,4852.904
2010-04-07,3386.949,4863.639
2010-04-08,3346.744,4864.922
2010-04-09,3379.17,4939.176
2010-04-12,3351.478,4976.38
2010-04-13,3391.716,4919.873
2010-04-14,3403.707,4977.508
2010-04-15,3394.574,4914.747
2010-04-16,3356.332,4898.67
2010-04-19,3176.423,4688.836
2010-04-20,3173.374,4749.934
2010-04-21,3236.679,4893.978
2010-04-22,3201.541,4902.405
2010-04-23,3190.003,4864.164
2010-04-26,3171.997,4866.553
2010-04-27,3108.409,4739.269
2010-04-28,3097.353,4714.432
2010-04-29,3060.064,4561.4
2010-04-30,3067.365,4438.681
2010-05-04,3019.449,4434.131
2010-05-05,3036.394,4564.807
2010-05-06,2896.856,4419.781
2010-05-07,2836.789,4350.758
2010-05-10,2858.233,4269.108
2010-05-11,2800.817,4144.352
2010-05-12,2818.16,4042.516
2010-05-13,2886.911,4157.842
2010-05-14,2868.023,4184.841
2010-05-17,2714.715,3915.752
2010-05-18,2771.348,3972.154
2010-05-19,2762.174,3977.377
2010-05-20,2726.022,3901.257
2010-05-21,2768.791,3982.385
2010-05-24,2873.469,4163.477
2010-05-25,2813.943,4133.346
2010-05-26,2813.944,4144.662
2010-05-27,2859.979,4218.637
2010-05-28,2850.302,4235.322
2010-05-31,2773.264,4104.364
2010-06-01,2744.162,4025.789
2010-06-02,2757.527,4083.616
2010-06-03,2736.076,4053.985
2010-06-04,2744.391,4089.035
2010-06-07,2695.715,4072.568
2010-06-08,2699.336,4109.317
2010-06-09,2782.133,4211.881
2010-06-10,2750.023,4223.566
2010-06-11,2758.866,4197.995
2010-06-17,2742.733,4145.243
2010-06-18,2696.166,3972.286
2010-06-21,2780.663,4087.017
2010-06-22,2783.72,4119.722
2010-06-23,2758.495,4094.568
2010-06-24,2757.498,4095.295
2010-06-25,2736.287,4028.433
2010-06-28,2716.777,3961.382
2010-06-29,2592.019,3736.982
2010-06-30,2563.07,3664.464
2010-07-01,2526.071,3606.593
2010-07-02,2534.105,3585.576
2010-07-05,2512.651,3563.882
2010-07-06,2562.902,3665.334
2010-07-07,2580.477,3718.662
2010-07-08,2575.921,3698.342
2010-07-09,2647.104,3807.604
2010-07-12,2676.218,3849.52
2010-07-13,2634.593,3788.751
2010-07-14,2653.609,3824.046
2010-07-15,2608.519,3735.395
2010-07-16,2616.128,3757.432
2010-07-19,2682.472,3842.313
2010-07-20,2741.503,3951.358
2010-07-21,2747.335,3959.427
2010-07-22,2781.286,4017.864
2010-07-23,2793.076,4015.467
2010-07-26,2811.055,4071.094
2010-07-27,2795.724,4068.864
2010-07-28,2863.724,4162.321
2010-07-29,2877.976,4194.04
2010-07-30,2868.846,4191.13
2010-08-02,2917.275,4267.895
2010-08-03,2865.971,4193.641
2010-08-04,2876.434,4248.014
2010-08-05,2850.829,4267.955
2010-08-06,2897.659,4356.012
2010-08-09,2918.241,4413.568
2010-08-10,2832.638,4246.46
2010-08-11,2850.211,4297.904
2010-08-12,2816.386,4241.592
2010-08-13,2855.547,4323.052
2010-08-16,2922.083,4423.315
2010-08-17,2942.291,4457.759
2010-08-18,2937.362,4457.127
2010-08-19,2955.395,4461.488
2010-08-20,2898.333,4366.604
2010-08-23,2896.192,4404.718
2010-08-24,2911.827,4456.497
2010-08-25,2843.023,4368.304
2010-08-26,2850.093,4399.284
2010-08-27,2858.566,4431.444
2010-08-30,2915.01,4553.023
2010-08-31,2903.188,4589.289
2010-09-01,2884.042,4530.229
2010-09-02,2921.393,4625.395
2010-09-03,2920.205,4662.96
2010-09-06,2975.09,4651.963
